Strategy report
Symbol: CX
Work Time: 1/3/05 - 12/23/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.28;1/3/05;$0.28;$0.90;-1.0;
2;kg_EveryTickSOHLCP(SOHLCP|CX|18.335|18.335|17.325|17.38|18.21);Buy to Open;1.0;$18.00;1/3/05;;$0.28;0.0;
3;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.34;1/10/05;$1.01;$0.10;-1.0;
4;kg_EveryTickSOHLCP(SOHLCP|CX|17.3|18.64|17.25|18.515|17.38);Buy to Open;1.0;$17.33;1/10/05;;$1.29;0.0;
5;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.64;1/17/05;$1.39;$1.88;-1.0;
6;kg_EveryTickSOHLCP(SOHLCP|CX|19|19|17.92|18.05|18.515);Buy to Open;1.0;$17.25;1/17/05;;$2.68;0.0;
7;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.00;1/24/05;$1.08;$3.13;-1.0;
8;kg_EveryTickSOHLCP(SOHLCP|CX|18.025|18.58|17.8|18.555|18.05);Buy to Open;1.0;$17.92;1/24/05;;$3.76;0.0;
9;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.58;1/31/05;$0.78;$3.00;-1.0;
10;kg_EveryTickSOHLCP(SOHLCP|CX|18.6|19.65|18.475|19.34|18.555);Buy to Open;1.0;$17.80;1/31/05;;$4.54;0.0;
11;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.65;2/7/05;$1.17;$4.66;-1.0;
12;kg_EveryTickSOHLCP(SOHLCP|CX|19.31|19.65|19.17|19.525|19.34);Buy to Open;1.0;$18.48;2/7/05;;$5.71;0.0;
13;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.65;2/14/05;$0.48;$5.94;-1.0;
14;kg_EveryTickSOHLCP(SOHLCP|CX|19.55|19.65|19.265|19.42|19.525);Buy to Open;1.0;$19.17;2/14/05;;$6.19;0.0;
15;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.65;2/21/05;$0.38;$5.36;-1.0;
16;kg_EveryTickSOHLCP(SOHLCP|CX|19.42|20.485|19.265|20.485|19.42);Buy to Open;1.0;$19.27;2/21/05;;$6.58;0.0;
17;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$20.49;2/28/05;$1.22;$6.08;-1.0;
18;kg_EveryTickSOHLCP(SOHLCP|CX|20.45|21.055|19.5|20.985|20.485);Buy to Open;1.0;$19.27;2/28/05;;$7.80;0.0;
19;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$21.06;3/7/05;$1.55;$8.55;-1.0;
20;kg_EveryTickSOHLCP(SOHLCP|CX|21.075|21.26|20.125|20.305|20.985);Buy to Open;1.0;$19.50;3/7/05;;$9.35;0.0;
21;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$21.26;3/14/05;$1.14;$11.73;-1.0;
22;kg_EveryTickSOHLCP(SOHLCP|CX|20.255|20.3|18.75|18.885|20.305);Buy to Open;1.0;$20.13;3/14/05;;$10.49;0.0;
23;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$20.30;3/21/05;$1.55;$11.97;-1.0;
24;kg_EveryTickSOHLCP(SOHLCP|CX|18.505|19.145|18.125|18.82|18.885);Buy to Open;1.0;$18.75;3/21/05;;$12.04;0.0;
25;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.15;3/28/05;$1.02;$12.76;-1.0;
26;kg_EveryTickSOHLCP(SOHLCP|CX|18.82|18.84|17.915|18.425|18.82);Buy to Open;1.0;$18.13;3/28/05;;$13.06;0.0;
27;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.84;4/4/05;$0.93;$13.37;-1.0;
28;kg_EveryTickSOHLCP(SOHLCP|CX|18.475|18.655|17.925|18.53|18.425);Buy to Open;1.0;$17.92;4/4/05;;$13.98;0.0;
29;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.66;4/11/05;$0.73;$14.96;-1.0;
30;kg_EveryTickSOHLCP(SOHLCP|CX|18.53|18.795|17.675|17.675|18.53);Buy to Open;1.0;$17.93;4/11/05;;$14.71;0.0;
31;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.80;4/18/05;$1.12;$16.32;-1.0;
32;kg_EveryTickSOHLCP(SOHLCP|CX|17.625|18.065|17.065|17.19|17.675);Buy to Open;1.0;$17.68;4/18/05;;$15.83;0.0;
33;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.07;4/25/05;$1.00;$15.90;-1.0;
34;kg_EveryTickSOHLCP(SOHLCP|CX|17.2|19.15|17.2|18|17.19);Buy to Open;1.0;$17.07;4/25/05;;$16.83;0.0;
35;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.15;5/2/05;$1.95;$17.26;-1.0;
36;kg_EveryTickSOHLCP(SOHLCP|CX|18.155|19.45|17.975|18.72|18);Buy to Open;1.0;$17.20;5/2/05;;$18.78;0.0;
37;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.45;5/9/05;$1.47;$20.11;-1.0;
38;kg_EveryTickSOHLCP(SOHLCP|CX|18.7|18.895|17.99|18.125|18.72);Buy to Open;1.0;$17.98;5/9/05;;$20.26;0.0;
39;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.90;5/16/05;$0.91;$20.64;-1.0;
