Strategy report
Symbol: CRH
Work Time: 1/3/05 - 12/23/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$27.48;1/3/05;$1.03;$1.40;-1.0;
2;kg_EveryTickSOHLCP(SOHLCP|CRH|27.17|27.17|25.76|26.08|26.78);Buy to Open;1.0;$26.45;1/3/05;;$1.03;0.0;
3;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$27.17;1/10/05;$1.41;$1.68;-1.0;
4;kg_EveryTickSOHLCP(SOHLCP|CRH|25.75|27.19|25.75|26.52|26.08);Buy to Open;1.0;$25.76;1/10/05;;$2.44;0.0;
5;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$27.19;1/17/05;$1.44;$2.86;-1.0;
6;kg_EveryTickSOHLCP(SOHLCP|CRH|26.85|27.41|26.63|26.77|26.52);Buy to Open;1.0;$25.75;1/17/05;;$3.88;0.0;
7;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$27.41;1/24/05;$0.78;$4.54;-1.0;
8;kg_EveryTickSOHLCP(SOHLCP|CRH|27|27.25|26.5|26.75|26.77);Buy to Open;1.0;$26.63;1/24/05;;$4.66;0.0;
9;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$27.25;1/31/05;$0.75;$4.15;-1.0;
10;kg_EveryTickSOHLCP(SOHLCP|CRH|26.48|28|26.29|27.76|26.75);Buy to Open;1.0;$26.50;1/31/05;;$5.41;0.0;
11;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$28.00;2/7/05;$1.71;$5.26;-1.0;
12;kg_EveryTickSOHLCP(SOHLCP|CRH|28|28.5|26.8|28.15|27.76);Buy to Open;1.0;$26.29;2/7/05;;$7.12;0.0;
13;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$28.50;2/14/05;$1.70;$6.85;-1.0;
14;kg_EveryTickSOHLCP(SOHLCP|CRH|28.31|29.74|28.13|28.77|28.15);Buy to Open;1.0;$26.80;2/14/05;;$8.82;0.0;
15;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$29.74;2/21/05;$1.61;$10.67;-1.0;
16;kg_EveryTickSOHLCP(SOHLCP|CRH|28.16|28.7|27.45|27.89|28.77);Buy to Open;1.0;$28.13;2/21/05;;$10.43;0.0;
17;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$28.70;2/28/05;$1.25;$10.99;-1.0;
18;kg_EveryTickSOHLCP(SOHLCP|CRH|28.4|28.75|27.25|28.14|27.89);Buy to Open;1.0;$27.45;2/28/05;;$11.68;0.0;
19;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$28.75;3/7/05;$1.50;$13.14;-1.0;
20;kg_EveryTickSOHLCP(SOHLCP|CRH|27.98|28.56|27.12|27.29|28.14);Buy to Open;1.0;$27.25;3/7/05;;$13.18;0.0;
21;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$28.56;3/14/05;$1.44;$14.47;-1.0;
22;kg_EveryTickSOHLCP(SOHLCP|CRH|27.51|27.74|26.89|27.27|27.29);Buy to Open;1.0;$27.12;3/14/05;;$14.62;0.0;
23;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$27.74;3/21/05;$0.85;$16.35;-1.0;
24;kg_EveryTickSOHLCP(SOHLCP|CRH|27.48|27.75|26|26.01|27.27);Buy to Open;1.0;$26.89;3/21/05;;$15.47;0.0;
25;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$27.75;3/28/05;$1.75;$16.63;-1.0;
26;kg_EveryTickSOHLCP(SOHLCP|CRH|26.05|26.91|25.75|26.59|26.01);Buy to Open;1.0;$26.00;3/28/05;;$17.22;0.0;
27;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$26.91;4/4/05;$1.16;$17.07;-1.0;
28;kg_EveryTickSOHLCP(SOHLCP|CRH|25.5|27.62|25.5|27.06|26.59);Buy to Open;1.0;$25.75;4/4/05;;$18.38;0.0;
29;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$27.62;4/11/05;$2.12;$19.04;-1.0;
30;kg_EveryTickSOHLCP(SOHLCP|CRH|26.75|27.46|26.26|26.96|27.06);Buy to Open;1.0;$25.50;4/11/05;;$20.50;0.0;
31;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$27.46;4/18/05;$1.20;$21.96;-1.0;
32;kg_EveryTickSOHLCP(SOHLCP|CRH|26.06|26.98|25.8|26|26.96);Buy to Open;1.0;$26.26;4/18/05;;$21.70;0.0;
33;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$26.98;4/25/05;$1.18;$23.77;-1.0;
34;kg_EveryTickSOHLCP(SOHLCP|CRH|25.64|25.68|24.31|24.91|26);Buy to Open;1.0;$25.80;4/25/05;;$22.88;0.0;
35;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$25.68;5/2/05;$1.37;$22.87;-1.0;
36;kg_EveryTickSOHLCP(SOHLCP|CRH|24.47|25.99|24.47|25.69|24.91);Buy to Open;1.0;$24.31;5/2/05;;$24.25;0.0;
37;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$25.99;5/9/05;$1.52;$25.17;-1.0;
38;kg_EveryTickSOHLCP(SOHLCP|CRH|25.33|26|24.81|25.07|25.69);Buy to Open;1.0;$24.47;5/9/05;;$25.77;0.0;
39;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$26.00;5/16/05;$1.19;$25.41;-1.0;
40;kg_EveryTickSOHLCP(SOHLCP|CRH|24.76|26.5|24.76|26.36|25.07);Buy to Open;1.0;$24.81;5/16/05;;$26.96;0.0;
41;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$26.50;5/23/05;$1.74;$27.32;-1.0;
42;kg_EveryTickSOHLCP(SOHLCP|CRH|26.45|26.5|25.61|26.14|26.36);Buy to Open;1.0;$24.76;5/23/05;;$28.70;0.0;
43;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$26.50;5/30/05;$0.89;$29.64;-1.0;
44;kg_EveryTickSOHLCP(SOHLCP|CRH|25.6|26.02|25.4|25.56|26.14);Buy to Open;1.0;$25.61;5/30/05;;$29.59;0.0;
45;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$26.02;6/6/05;$0.62;$30.07;-1.0;
46;kg_EveryTickSOHLCP(SOHLCP|CRH|25.93|26.34|25.52|25.54|25.56);Buy to Open;1.0;$25.40;6/6/05;;$30.21;0.0;
47;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$26.34;6/13/05;$0.82;$29.87;-1.0;
48;kg_EveryTickSOHLCP(SOHLCP|CRH|26.18|27|25.61|26.68|25.54);Buy to Open;1.0;$25.52;6/13/05;;$31.03;0.0;
49;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$27.00;6/20/05;$1.39;$31.45;-1.0;
50;kg_EveryTickSOHLCP(SOHLCP|CRH|26.72|27.2|25.99|26.58|26.68);Buy to Open;1.0;$25.61;6/20/05;;$32.42;0.0;
51;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$27.20;6/27/05;$1.21;$33.06;-1.0;
52;kg_EveryTickSOHLCP(SOHLCP|CRH|26.06|26.81|25.9|26.56|26.58);Buy to Open;1.0;$25.99;6/27/05;;$33.63;0.0;
53;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$26.81;7/4/05;$0.91;$34.70;-1.0;
54;kg_EveryTickSOHLCP(SOHLCP|CRH|25.95|26.45|25.33|25.74|26.56);Buy to Open;1.0;$25.90;7/4/05;;$34.54;0.0;
55;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$26.45;7/11/05;$1.12;$34.09;-1.0;
56;kg_EveryTickSOHLCP(SOHLCP|CRH|26.02|27.11|26.02|26.9|25.74);Buy to Open;1.0;$25.33;7/11/05;;$35.66;0.0;
57;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$27.11;7/18/05;$1.09;$34.59;-1.0;
58;kg_EveryTickSOHLCP(SOHLCP|CRH|27.36|28.25|26.77|28.18|26.9);Buy to Open;1.0;$26.02;7/18/05;;$36.75;0.0;
59;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$28.25;7/25/05;$1.48;$36.22;-1.0;
60;kg_EveryTickSOHLCP(SOHLCP|CRH|28.24|28.99|27.38|28.78|28.18);Buy to Open;1.0;$26.77;7/25/05;;$38.23;0.0;
61;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$28.99;8/1/05;$1.61;$38.80;-1.0;
62;kg_EveryTickSOHLCP(SOHLCP|CRH|28.63|29|28.21|28.42|28.78);Buy to Open;1.0;$27.38;8/1/05;;$39.84;0.0;
63;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$29.00;8/8/05;$0.79;$40.38;-1.0;
64;kg_EveryTickSOHLCP(SOHLCP|CRH|28.46|29|28.15|28.46|28.42);Buy to Open;1.0;$28.21;8/8/05;;$40.63;0.0;
65;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$29.00;8/15/05;$0.85;$41.82;-1.0;
66;kg_EveryTickSOHLCP(SOHLCP|CRH|28.49|28.99|27.52|27.81|28.46);Buy to Open;1.0;$28.15;8/15/05;;$41.48;0.0;
67;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$28.99;8/22/05;$1.47;$42.93;-1.0;
68;kg_EveryTickSOHLCP(SOHLCP|CRH|27.5|28.2|27.27|27.54|27.81);Buy to Open;1.0;$27.52;8/22/05;;$42.95;0.0;
69;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$28.20;8/29/05;$0.93;$42.29;-1.0;
70;kg_EveryTickSOHLCP(SOHLCP|CRH|27.05|28.89|26.69|28.86|27.54);Buy to Open;1.0;$27.27;8/29/05;;$43.88;0.0;
71;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$28.89;9/5/05;$2.20;$44.16;-1.0;
72;kg_EveryTickSOHLCP(SOHLCP|CRH|28.84|29.5|28.22|28.61|28.86);Buy to Open;1.0;$26.69;9/5/05;;$46.08;0.0;
73;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$29.50;9/12/05;$1.28;$48.27;-1.0;
74;kg_EveryTickSOHLCP(SOHLCP|CRH|28.05|28.24|27.12|27.31|28.61);Buy to Open;1.0;$28.22;9/12/05;;$47.36;0.0;
75;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$28.24;9/19/05;$1.12;$48.69;-1.0;
76;kg_EveryTickSOHLCP(SOHLCP|CRH|27|27.28|26.6|26.91|27.31);Buy to Open;1.0;$27.12;9/19/05;;$48.48;0.0;
77;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$27.28;9/26/05;$0.68;$48.71;-1.0;
78;kg_EveryTickSOHLCP(SOHLCP|CRH|27.22|27.44|26.56|27.05|26.91);Buy to Open;1.0;$26.60;9/26/05;;$49.16;0.0;
79;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$27.44;10/3/05;$0.88;$48.83;-1.0;
80;kg_EveryTickSOHLCP(SOHLCP|CRH|27.5|28.01|26.9|27.77|27.05);Buy to Open;1.0;$26.56;10/3/05;;$50.04;0.0;
81;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$28.01;10/10/05;$1.11;$51.25;-1.0;
82;kg_EveryTickSOHLCP(SOHLCP|CRH|27.72|27.72|26.21|26.8|27.77);Buy to Open;1.0;$26.90;10/10/05;;$51.15;0.0;
83;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$27.72;10/17/05;$1.51;$53.97;-1.0;
84;kg_EveryTickSOHLCP(SOHLCP|CRH|26.86|26.93|24.64|24.9|26.8);Buy to Open;1.0;$26.21;10/17/05;;$52.66;0.0;
85;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$26.93;10/24/05;$2.29;$54.46;-1.0;
86;kg_EveryTickSOHLCP(SOHLCP|CRH|24.86|25.72|24.86|25.13|24.9);Buy to Open;1.0;$24.64;10/24/05;;$54.95;0.0;
87;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$25.72;10/31/05;$0.86;$54.71;-1.0;
88;kg_EveryTickSOHLCP(SOHLCP|CRH|25.36|26.9|25.2|25.96|25.13);Buy to Open;1.0;$24.86;10/31/05;;$55.81;0.0;
89;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$26.90;11/7/05;$1.70;$56.83;-1.0;
90;kg_EveryTickSOHLCP(SOHLCP|CRH|26.05|26.47|25.57|25.88|25.96);Buy to Open;1.0;$25.20;11/7/05;;$57.51;0.0;
91;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$26.47;11/14/05;$0.90;$57.20;-1.0;
92;kg_EveryTickSOHLCP(SOHLCP|CRH|26|26.94|25.46|26.78|25.88);Buy to Open;1.0;$25.57;11/14/05;;$58.41;0.0;
93;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$26.94;11/21/05;$1.48;$58.45;-1.0;
94;kg_EveryTickSOHLCP(SOHLCP|CRH|26.77|27.5|26.15|26.9|26.78);Buy to Open;1.0;$25.46;11/21/05;;$59.89;0.0;
95;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$27.50;11/28/05;$1.35;$60.33;-1.0;
96;kg_EveryTickSOHLCP(SOHLCP|CRH|26.79|27.25|26.4|27.06|26.9);Buy to Open;1.0;$26.15;11/28/05;;$61.24;0.0;
97;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$27.25;12/5/05;$0.85;$60.22;-1.0;
98;kg_EveryTickSOHLCP(SOHLCP|CRH|27.29|28.28|27.02|28.27|27.06);Buy to Open;1.0;$26.40;12/5/05;;$62.09;0.0;
99;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$28.28;12/12/05;$1.26;$60.77;-1.0;
100;kg_EveryTickSOHLCP(SOHLCP|CRH|28.83|29.74|28.15|29.6|28.27);Buy to Open;1.0;$27.02;12/12/05;;$63.35;0.0;
101;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$29.74;12/19/05;$1.59;$63.08;-1.0;
102;kg_EveryTickSOHLCP(SOHLCP|CRH|29.41|31.11|28.81|30.01|29.6);Buy to Open;1.0;$28.15;12/19/05;;$64.94;0.0;
103;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$31.11;12/26/05;$2.30;$66.44;-1.0;
104;kg_EveryTickSOHLCP(SOHLCP|CRH|29.97|30.15|28.7|29.61|30.01);Buy to Open;1.0;$28.81;12/26/05;;$67.24;0.0;
105;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$30.15;1/2/06;$1.45;$66.14;-1.0;
106;kg_EveryTickSOHLCP(SOHLCP|CRH|29.8|31.75|29.8|31.25|29.61);Buy to Open;1.0;$28.70;1/2/06;;$68.69;0.0;
107;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$31.75;1/9/06;$1.95;$68.44;-1.0;
108;kg_EveryTickSOHLCP(SOHLCP|CRH|31.37|32.25|30.87|32|31.25);Buy to Open;1.0;$29.80;1/9/06;;$70.64;0.0;
109;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$32.25;1/16/06;$1.38;$71.61;-1.0;
