Strategy report
Symbol: FLR
Work Time: 1/3/05 - 12/23/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$27.60;1/3/05;$1.76;$2.19;-1.0;
2;kg_EveryTickSOHLCP(SOHLCP|FLR|27.255|27.255|25.225|25.405|27.255);Buy to Open;1.0;$25.84;1/3/05;;$1.76;0.0;
3;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$27.26;1/10/05;$2.03;$2.77;-1.0;
4;kg_EveryTickSOHLCP(SOHLCP|FLR|25.255|26.325|25.13|26.245|25.405);Buy to Open;1.0;$25.23;1/10/05;;$3.79;0.0;
5;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$26.33;1/17/05;$1.20;$4.82;-1.0;
6;kg_EveryTickSOHLCP(SOHLCP|FLR|26.15|26.38|25.265|25.29|26.245);Buy to Open;1.0;$25.13;1/17/05;;$4.98;0.0;
7;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$26.38;1/24/05;$1.11;$5.22;-1.0;
8;kg_EveryTickSOHLCP(SOHLCP|FLR|25.225|26.375|25.055|26.145|25.29);Buy to Open;1.0;$25.27;1/24/05;;$6.10;0.0;
9;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$26.38;1/31/05;$1.32;$2.55;-1.0;
10;kg_EveryTickSOHLCP(SOHLCP|FLR|26.27|30.2|26|29.92|26.145);Buy to Open;1.0;$25.06;1/31/05;;$7.42;0.0;
11;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$30.20;2/7/05;$4.20;$7.12;-1.0;
12;kg_EveryTickSOHLCP(SOHLCP|FLR|29.9|30.875|29.735|30.5|29.92);Buy to Open;1.0;$26.00;2/7/05;;$11.62;0.0;
13;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$30.88;2/14/05;$1.14;$11.55;-1.0;
