Strategy report
Symbol: NUE
Work Time: 1/3/05 - 12/23/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$27.74;1/3/05;$2.38;$3.07;-1.0;
2;kg_EveryTickSOHLCP(SOHLCP|NUE|26.25|26.35|24.025|24.665|26.17);Buy to Open;1.0;$25.35;1/3/05;;$2.38;0.0;
3;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$26.35;1/10/05;$2.33;$2.59;-1.0;
4;kg_EveryTickSOHLCP(SOHLCP|NUE|24.9|26.35|23.525|26.15|24.665);Buy to Open;1.0;$24.03;1/10/05;;$4.71;0.0;
5;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$26.35;1/17/05;$2.83;$5.26;-1.0;
6;kg_EveryTickSOHLCP(SOHLCP|NUE|25.7|26.395|25.27|25.805|26.15);Buy to Open;1.0;$23.53;1/17/05;;$7.54;0.0;
7;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$26.40;1/24/05;$1.13;$6.48;-1.0;
8;kg_EveryTickSOHLCP(SOHLCP|NUE|26|27.675|25.585|27.45|25.805);Buy to Open;1.0;$25.27;1/24/05;;$8.66;0.0;
9;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$27.68;1/31/05;$2.09;$8.06;-1.0;
10;kg_EveryTickSOHLCP(SOHLCP|NUE|26.525|29.165|26.51|28.275|27.45);Buy to Open;1.0;$25.59;1/31/05;;$10.75;0.0;
11;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$29.17;2/7/05;$2.65;$11.46;-1.0;
12;kg_EveryTickSOHLCP(SOHLCP|NUE|28.5|29.07|27.475|28.455|28.275);Buy to Open;1.0;$26.51;2/7/05;;$13.41;0.0;
13;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$29.07;2/14/05;$1.59;$12.35;-1.0;
14;kg_EveryTickSOHLCP(SOHLCP|NUE|28.58|30.425|28.25|30.125|28.455);Buy to Open;1.0;$27.48;2/14/05;;$15.00;0.0;
15;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$30.43;2/21/05;$2.18;$13.73;-1.0;
16;kg_EveryTickSOHLCP(SOHLCP|NUE|30|31.945|28.84|31.695|30.125);Buy to Open;1.0;$28.25;2/21/05;;$17.18;0.0;
17;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$31.95;2/28/05;$3.11;$17.21;-1.0;
18;kg_EveryTickSOHLCP(SOHLCP|NUE|31.7|32.12|29.325|31.915|31.695);Buy to Open;1.0;$28.84;2/28/05;;$20.28;0.0;
19;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$32.12;3/7/05;$2.79;$21.13;-1.0;
