Strategy report
Symbol: RUT
Work Time: 1/3/05 - 12/23/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$656.11;1/3/05;$13.27;$42.90;-1.0;
2;kg_EveryTickSOHLCP(SOHLCP|RUT|651.57|654.27|612.41|613.21|651.57);Buy to Open;1.0;$642.84;1/3/05;;$13.27;0.0;
3;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$654.27;1/10/05;$41.86;$50.06;-1.0;
4;kg_EveryTickSOHLCP(SOHLCP|RUT|613.21|623.3|604.64|617.48|613.21);Buy to Open;1.0;$612.41;1/10/05;;$55.13;0.0;
5;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$623.30;1/17/05;$18.66;$67.35;-1.0;
6;kg_EveryTickSOHLCP(SOHLCP|RUT|617.48|625.81|609.61|611.08|617.48);Buy to Open;1.0;$604.64;1/17/05;;$73.79;0.0;
7;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$625.81;1/24/05;$16.20;$86.60;-1.0;
8;kg_EveryTickSOHLCP(SOHLCP|RUT|611.08|617.43|604.17|613|611.08);Buy to Open;1.0;$609.61;1/24/05;;$89.99;0.0;
9;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$617.43;1/31/05;$13.26;$69.98;-1.0;
10;kg_EveryTickSOHLCP(SOHLCP|RUT|624.02|637.45|623.43|637.44|613);Buy to Open;1.0;$604.17;1/31/05;;$103.25;0.0;
11;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$637.45;2/7/05;$14.02;$105.94;-1.0;
12;kg_EveryTickSOHLCP(SOHLCP|RUT|637.44|639.84|621.94|634.76|637.44);Buy to Open;1.0;$623.43;2/7/05;;$117.27;0.0;
13;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$639.84;2/14/05;$17.90;$126.98;-1.0;
14;kg_EveryTickSOHLCP(SOHLCP|RUT|634.76|640.59|627.99|630.13|634.76);Buy to Open;1.0;$621.94;2/14/05;;$135.17;0.0;
15;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$640.59;2/21/05;$12.60;$138.23;-1.0;
16;kg_EveryTickSOHLCP(SOHLCP|RUT|630.13|637.53|616.91|637.53|630.13);Buy to Open;1.0;$627.99;2/21/05;;$147.77;0.0;
17;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$637.53;2/28/05;$20.62;$140.35;-1.0;
18;kg_EveryTickSOHLCP(SOHLCP|RUT|637.53|646|629.21|644.95|637.53);Buy to Open;1.0;$616.91;2/28/05;;$168.39;0.0;
