Strategy report
Symbol: SPX
Work Time: 1/3/05 - 12/23/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$1,217.33;1/3/05;$12.41;$31.14;-1.0;
2;kg_EveryTickSOHLCP(SOHLCP|SPX|1,211.92|1,217.8001|1,182.16|1,186.1899|1,211.92);Buy to Open;1.0;$1,204.92;1/3/05;;$12.41;0.0;
3;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$1,217.80;1/10/05;$35.64;$45.69;-1.0;
4;kg_EveryTickSOHLCP(SOHLCP|SPX|1,186.1899|1,194.78|1,175.64|1,184.52|1,186.1899);Buy to Open;1.0;$1,182.16;1/10/05;;$48.05;0.0;
5;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$1,194.78;1/17/05;$19.14;$74.96;-1.0;
6;kg_EveryTickSOHLCP(SOHLCP|SPX|1,184.52|1,195.98|1,167.82|1,167.87|1,184.52);Buy to Open;1.0;$1,175.64;1/17/05;;$67.19;0.0;
7;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$1,195.98;1/24/05;$28.16;$91.81;-1.0;
8;kg_EveryTickSOHLCP(SOHLCP|SPX|1,167.87|1,177.5|1,163.75|1,171.36|1,167.87);Buy to Open;1.0;$1,167.82;1/24/05;;$95.35;0.0;
9;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$1,177.50;1/31/05;$13.75;$69.82;-1.0;
10;kg_EveryTickSOHLCP(SOHLCP|SPX|1,171.36|1,203.47|1,171.36|1,203.03|1,171.36);Buy to Open;1.0;$1,163.75;1/31/05;;$109.10;0.0;
11;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$1,203.47;2/7/05;$32.11;$107.27;-1.0;
12;kg_EveryTickSOHLCP(SOHLCP|SPX|1,203.03|1,208.38|1,191.54|1,205.3001|1,203.03);Buy to Open;1.0;$1,171.36;2/7/05;;$141.21;0.0;
13;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$1,208.38;2/14/05;$16.84;$148.00;-1.0;
14;kg_EveryTickSOHLCP(SOHLCP|SPX|1,205.3001|1,212.4399|1,197.35|1,201.59|1,205.3001);Buy to Open;1.0;$1,191.54;2/14/05;;$158.05;0.0;
15;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$1,212.44;2/21/05;$15.09;$159.12;-1.0;
16;kg_EveryTickSOHLCP(SOHLCP|SPX|1,201.59|1,212.15|1,184.16|1,211.37|1,201.59);Buy to Open;1.0;$1,197.35;2/21/05;;$173.14;0.0;
17;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$1,212.15;2/28/05;$27.99;$163.17;-1.0;
18;kg_EveryTickSOHLCP(SOHLCP|SPX|1,211.37|1,224.76|1,198.13|1,222.12|1,211.37);Buy to Open;1.0;$1,184.16;2/28/05;;$201.13;0.0;
19;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$1,224.76;3/7/05;$26.63;$225.81;-1.0;
20;kg_EveryTickSOHLCP(SOHLCP|SPX|1,222.12|1,229.11|1,198.15|1,200.08|1,222.12);Buy to Open;1.0;$1,198.13;3/7/05;;$227.76;0.0;
21;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$1,229.11;3/14/05;$30.96;$267.22;-1.0;
22;kg_EveryTickSOHLCP(SOHLCP|SPX|1,200.08|1,210.54|1,182.78|1,189.65|1,200.08);Buy to Open;1.0;$1,198.15;3/14/05;;$258.72;0.0;
