Strategy report
Symbol: TOL
Work Time: 1/3/05 - 12/23/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$34.48;1/3/05;$2.76;$0.92;-1.0;
2;kg_EveryTickSOHLCP(SOHLCP|TOL|34.3|34.33|32.625|33.56|34.305);Buy to Open;1.0;$31.72;1/3/05;;$2.76;0.0;
3;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$34.33;1/10/05;$1.70;($0.10);-1.0;
4;kg_EveryTickSOHLCP(SOHLCP|TOL|34|37.595|33.75|37.19|33.56);Buy to Open;1.0;$32.63;1/10/05;;$4.46;0.0;
5;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$37.60;1/17/05;$3.84;$5.28;-1.0;
6;kg_EveryTickSOHLCP(SOHLCP|TOL|37.19|38.125|36.65|36.775|37.19);Buy to Open;1.0;$33.75;1/17/05;;$8.31;0.0;
7;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$38.13;1/24/05;$1.48;$8.02;-1.0;
8;kg_EveryTickSOHLCP(SOHLCP|TOL|36.8|38.65|36.5|38.415|36.775);Buy to Open;1.0;$36.65;1/24/05;;$9.78;0.0;
9;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$38.65;1/31/05;$2.15;$7.41;-1.0;
10;kg_EveryTickSOHLCP(SOHLCP|TOL|38.62|41.175|37.545|41.025|38.415);Buy to Open;1.0;$36.50;1/31/05;;$11.93;0.0;
11;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$41.18;2/7/05;$3.63;$11.63;-1.0;
12;kg_EveryTickSOHLCP(SOHLCP|TOL|40.76|43.425|40.615|41.475|41.025);Buy to Open;1.0;$37.55;2/7/05;;$15.56;0.0;
13;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$43.43;2/14/05;$2.81;$16.78;-1.0;
14;kg_EveryTickSOHLCP(SOHLCP|TOL|41.575|42.895|40.625|42.205|41.475);Buy to Open;1.0;$40.62;2/14/05;;$18.37;0.0;
15;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$42.90;2/21/05;$2.27;$16.40;-1.0;
16;kg_EveryTickSOHLCP(SOHLCP|TOL|42.205|44.955|40.27|44.87|42.205);Buy to Open;1.0;$40.63;2/21/05;;$20.64;0.0;
17;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$44.96;2/28/05;$4.68;$20.60;-1.0;
