Strategy report
Symbol: VMC
Work Time: 1/3/05 - 12/23/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$55.05;1/3/05;$1.11;$2.19;-1.0;
2;kg_EveryTickSOHLCP(SOHLCP|VMC|54|54.3|52.36|52.86|54.61);Buy to Open;1.0;$53.94;1/3/05;;$1.11;0.0;
3;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$54.30;1/10/05;$1.94;$0.92;-1.0;
4;kg_EveryTickSOHLCP(SOHLCP|VMC|52.75|54.5|52.72|54.49|52.86);Buy to Open;1.0;$52.36;1/10/05;;$3.05;0.0;
5;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$54.50;1/17/05;$1.78;$3.00;-1.0;
6;kg_EveryTickSOHLCP(SOHLCP|VMC|54.49|54.99|54.15|54.55|54.49);Buy to Open;1.0;$52.72;1/17/05;;$4.83;0.0;
7;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$54.99;1/24/05;$0.84;$3.86;-1.0;
8;kg_EveryTickSOHLCP(SOHLCP|VMC|54.63|56.17|54.33|55.96|54.55);Buy to Open;1.0;$54.15;1/24/05;;$5.67;0.0;
9;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$56.17;1/31/05;$1.84;$4.35;-1.0;
10;kg_EveryTickSOHLCP(SOHLCP|VMC|56.3|57.54|55.19|57.49|55.96);Buy to Open;1.0;$54.33;1/31/05;;$7.51;0.0;
11;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$57.54;2/7/05;$2.35;$7.84;-1.0;
12;kg_EveryTickSOHLCP(SOHLCP|VMC|57.55|57.83|56.42|57.21|57.49);Buy to Open;1.0;$55.19;2/7/05;;$9.86;0.0;
13;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$57.83;2/14/05;$1.41;$10.56;-1.0;
14;kg_EveryTickSOHLCP(SOHLCP|VMC|57.22|57.52|56.49|57.13|57.21);Buy to Open;1.0;$56.42;2/14/05;;$11.27;0.0;
15;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$57.52;2/21/05;$1.03;$10.27;-1.0;
16;kg_EveryTickSOHLCP(SOHLCP|VMC|56.65|58.61|55.3|58.52|57.13);Buy to Open;1.0;$56.49;2/21/05;;$12.30;0.0;
17;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$58.61;2/28/05;$3.31;$11.26;-1.0;
18;kg_EveryTickSOHLCP(SOHLCP|VMC|58.4|59.67|57.1|59.65|58.52);Buy to Open;1.0;$55.30;2/28/05;;$15.61;0.0;
19;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$59.67;3/7/05;$2.57;$17.67;-1.0;
20;kg_EveryTickSOHLCP(SOHLCP|VMC|59.51|59.65|56.92|57.61|59.65);Buy to Open;1.0;$57.10;3/7/05;;$18.18;0.0;
21;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$59.65;3/14/05;$2.73;$21.75;-1.0;
22;kg_EveryTickSOHLCP(SOHLCP|VMC|57.86|58|55.94|56.08|57.61);Buy to Open;1.0;$56.92;3/14/05;;$20.91;0.0;
23;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$58.00;3/21/05;$2.06;$22.66;-1.0;
24;kg_EveryTickSOHLCP(SOHLCP|VMC|55.88|57.55|55.52|56.25|56.08);Buy to Open;1.0;$55.94;3/21/05;;$22.97;0.0;
25;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$57.55;3/28/05;$2.03;$23.11;-1.0;
26;kg_EveryTickSOHLCP(SOHLCP|VMC|56.33|57.7|55.25|57.41|56.25);Buy to Open;1.0;$55.52;3/28/05;;$25.00;0.0;
27;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$57.70;4/4/05;$2.45;$25.45;-1.0;
28;kg_EveryTickSOHLCP(SOHLCP|VMC|57.47|57.91|56.65|57.25|57.41);Buy to Open;1.0;$55.25;4/4/05;;$27.45;0.0;
29;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$57.91;4/11/05;$1.26;$31.56;-1.0;
30;kg_EveryTickSOHLCP(SOHLCP|VMC|57.33|57.71|53.8|53.8|57.25);Buy to Open;1.0;$56.65;4/11/05;;$28.71;0.0;
31;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$57.71;4/18/05;$3.91;$33.34;-1.0;
32;kg_EveryTickSOHLCP(SOHLCP|VMC|54.05|54.42|52.71|53.08|53.8);Buy to Open;1.0;$53.80;4/18/05;;$32.62;0.0;
33;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$54.42;4/25/05;$1.71;$34.00;-1.0;
34;kg_EveryTickSOHLCP(SOHLCP|VMC|53.25|54.86|52.36|53.04|53.08);Buy to Open;1.0;$52.71;4/25/05;;$34.33;0.0;
35;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$54.86;5/2/05;$2.50;$32.69;-1.0;
36;kg_EveryTickSOHLCP(SOHLCP|VMC|53.45|56.83|53.45|56.5|53.04);Buy to Open;1.0;$52.36;5/2/05;;$36.83;0.0;
